pos_y,ecc,hits,rms_trans,pos_x
9.737,4.004,88,0.7483,8.199
1.365,12.54,48,0.2456,6.631
3.304,1.247,928,1.405,8.079
11.03,5.053,62,0.7717,5.296
12.81,2.234,9,0.4635,11.13
9.593,1.973,13,1.281,3.547
11.56,2.138,35,0.7456,3.535
7.283,4.853,276,0.7241,7.438
10.54,3.102,182,1.007,4.192
3.153,3.694,86,0.7965,6.006
6.911,4.523,107,0.9683,8.989
8.785,3.413,85,0.9547,8.639
5.077,8.493,51,0.395,12.91
8.392,4.693,198,0.6595,6.047
5.893,4.789,762,0.9085,7.114
3.1,3.839,75,0.4672,3.172
5.486,2.877,440,0.6639,8.194
1.123,2.846,66,0.2844,11.07
12.18,3.564,46,0.514,10.67
12.89,2.608,14,0.09521,6.25
9.84,2.407,129,1.084,10.06
9.71,4.244,416,0.7728,4.747
12.51,4.65,117,0.553,6.14
11.06,2.18,1103,0.8673,5.42
5.167,4.324,102,0.9283,7.546
5.13,1.971,893,1.655,3.434
7.308,1.106,2557,4.002,7.711
7.923,1.872,222,1.786,6.548
10.2,4.155,65,0.6514,9.45
7.243,6.309,55,0.697,6.069
12.56,1.601,12,0.4209,12.21
2.799,5.52,126,0.5284,8.645
8.084,2.291,33,0.947,10.3
11.78,2.218,12,0.4477,12.51
5.272,1.981,573,1.117,8.92
5.487,3.43,137,0.8493,7.689
8.878,2.267,802,1.137,6.077
3.86,2.81,78,0.9999,9.72
2.183,1.924,91,0.6499,3.66
5.818,5.708,182,0.6854,6.47
6.915,6.522,99,0.6659,7.63
1.283,2.701,6,0.4007,2.502
1.788,6.089,145,0.4484,7.403
7.153,1.126,3861,3.949,7.852
7.615,1.626,603,1.609,2.602
2.605,2.361,47,0.7443,3.553
11.43,4.123,157,0.698,8.586
1.056,2.895,17,0.4026,10.15
4.229,3.959,96,0.6807,8.33
7.905,3.76,99,1.082,8.885
8.665,13.65,103,0.293,7.025
1.712,4.796,171,0.4495,6.388
8.151,5.291,118,0.7734,8.969
2.74,1.387,444,1.168,7.358
1.396,2.977,64,0.6407,4.062
2.77,5.972,131,0.3081,5.864
8.192,5.19,126,0.7264,9.357
11.71,1.287,76,0.8015,12.23
5.696,4.695,275,0.7591,6.417
10.58,1.569,20,0.09079,13.12
1.93,1.708,1267,0.908,3.762
11.7,5.076,151,0.5153,6.884
12.07,4.776,27,0.4375,3.478
5.65,1.795,150,2.046,7.214
2.322,1.326,64,0.6115,1.902
4.074,3.357,86,0.9859,6.193
2.789,1.266,57,0.8679,11.45
1.538,3.355,79,0.4192,4.042
5.607,7.154,153,0.7649,6.982
8.288,4.182,95,0.7145,3.28
9.026,3.685,76,0.9761,8.767
11.17,2.786,49,0.6949,3.127
1.744,1.529,33,0.52,1.918
5.355,2.721,132,1.123,8.137
1.158,2.263,36,0.3902,5.692
2.482,4.135,200,0.9454,6.46
6.302,3.952,108,0.9355,7.491
12.25,2.729,20,0.317,11.79
7.357,3.543,58,1.119,9.739
11.69,3.595,114,0.6527,4.429
9.222,3.607,125,0.7404,7.108
1.155,5.175,6,0.09133,4.867
11.65,3.658,96,0.8248,6.547
1.27,1.277,12,0.5067,1.219
11,3.323,17,0.5645,11.93
4.647,10.34,108,0.321,8.022
6.544,1.133,48,0.9615,12.03
8.541,2.959,122,1.398,7.668
10.55,2.378,304,0.8608,4.397
1.788,4.124,73,0.8557,8.825
7.145,5.369,102,0.3475,5.828
0.9078,1.963,351,0.4154,12.41
8.162,8.896,213,0.4635,7.228
3.322,4.178,62,0.794,7.79
5.966,14.03,134,0.3049,5.763
8.262,4.838,100,0.7921,7.395
9.493,3.818,92,0.9311,6.604
12.68,2.068,23,0.5513,3.669
10.29,4.06,115,0.7575,6.254
3.999,4.245,102,0.864,5.635
10.88,3.073,76,0.8145,4.108
11.05,1.253,43,0.6666,12.71
7.143,5.963,131,0.7189,6.943
2.621,2.813,132,1.095,6.84
5.729,2.602,124,1.595,7.985
2.118,2.953,66,0.7922,4.197
7.455,4.428,206,0.838,9.362
8.717,3.187,97,1.135,8.366
0.8165,1.655,26,0.2326,12.58
5.796,9.344,327,0.3025,4.03
1.158,1.46,32,0.4282,11.48
4.547,3.846,118,0.9787,7.239
6.436,8.215,295,0.5548,7.02
11.37,3.307,19,0.3515,12.74
7.521,4.633,146,0.7917,6.954
8.846,5.801,109,0.8207,6.267
3.573,5.688,144,0.6917,9.559
2.616,3.265,176,0.954,6.244
7.793,3.392,179,0.7843,6.382
8.976,1.496,43,0.8731,2.95
1.033,1.736,145,0.4097,2.751
2.084,4.476,18,0.441,3.752
4.266,2.356,97,1.124,4.669
6.428,8.926,264,0.4353,7.823
9.284,5.327,64,0.6738,7.775
6.514,8.87,176,0.4263,8.016
12.16,2.54,11,0.4018,3.047
4.306,3.215,88,1.162,7.948
6.568,2.757,50,0.2076,1.584
4.287,1.169,285,2.988,8.02
3.943,3.319,131,0.8615,5.626
7.938,5.689,125,0.7049,7.605
1.729,2.031,47,0.6656,10.71
5.216,3.544,244,0.8324,4.791
1.611,4.618,44,0.3821,9.2
1.49,2.636,37,0.6456,11.02
5.484,3.543,120,1.014,6.586
3.142,1.205,59,1.073,11.69
10.07,5.371,373,0.391,5.798
1.995,2.267,49,0.7445,10.96
9.847,2.919,13,0.3704,12.79
0.8433,2.042,12,0.4242,4.295
12.42,2.528,18,0.4571,11.1
12.41,3.935,314,0.5516,5.456
6.886,1.684,93,1.051,4.319
2.226,5.443,102,0.5502,6.453
7.042,4.231,72,0.7571,10.17
2.572,3.564,178,0.6938,6.136
4.194,2.188,299,1.101,6.422
6.751,10.27,238,0.3398,3.98
3.86,3.517,520,1.018,10.45
4.881,3.625,152,0.9021,6.378
6.113,3.005,251,1.278,7.442
1.183,2.897,10,0.5456,3.867
10.37,5.921,59,0.6645,6.629
1.726,4.817,158,0.5438,6.366
5.37,3.159,139,1.054,4.966
12.61,1.839,13,0.6186,2.837
10.57,2.138,163,1.424,8.54
2.695,3.585,124,0.7407,4.913
2.885,3.723,219,1.006,6.026
10.95,3.266,116,0.8245,6.662
6.635,3.894,140,0.9297,8.229
6.622,4.781,125,0.8703,7.114
9.867,3.534,67,1.06,8.827
6.428,4.063,236,1.056,8.601
1.906,10.09,64,0.3532,8.266
10.01,2.773,118,0.9576,9.717
3.413,5.049,320,0.7405,6.234
1.238,3.029,7,0.4101,11.86
11.24,2.364,23,0.8249,10.71
6.013,8.943,164,0.5301,8.524
2.5,2.63,38,0.9663,5.593
5.256,4.968,332,0.8045,5.553
4.62,2.339,59,0.2897,1.669
4.827,2.904,230,1.533,8.668
12.22,2.01,41,0.7388,9.873
12.55,1.373,41,0.7135,2.45
9.254,2.109,20,0.06848,0.7865
6.325,1.787,1052,1.654,9.91
6.908,15.14,98,0.2449,4.228
10.32,1.091,322,1.044,4.051
2.482,4.509,107,0.8088,7.462
5.694,4.48,93,0.9717,6.974
4.51,5.71,160,0.5169,8.601
1.991,2.144,119,0.7065,2.723
10.73,3.418,134,0.6881,3.116
12.16,4.197,147,0.817,5.643
10.78,1.848,149,0.9372,10.89
11.41,5.085,90,0.5967,6.53
1.617,2.22,10,0.2994,9.911
1.405,6.767,44,0.56,9.609
4.874,5.858,83,0.5599,10.2
10.78,2.783,62,0.9516,5.002
2.523,2.342,11,0.5243,12.71
0.9141,7.673,25,0.134,2.769
8.091,2.03,492,1.134,3.748
9.056,3.396,111,0.896,6.208
7.226,2.81,285,1.036,6.562
12.31,1.404,28,0.7144,2.391
5.722,5.01,131,0.837,6.672
6.746,11.88,139,0.3686,5.527
8.785,2.735,280,0.9692,3.078
9.162,3.058,631,0.8633,2.325
2.59,3.202,140,0.9654,7.345
8.553,1.224,25,0.8758,11.16
5.55,1.131,103,3.283,6.468
9.694,10.79,160,0.4062,8.511
7.045,3.941,474,0.6179,3.887
5.001,6.856,94,0.5312,8.082
1.384,1.624,12,0.5338,1.705
4.707,3.885,74,1.006,8.099
2.175,1.479,178,0.4956,1.522
3.999,9.172,111,0.2899,6.861
6.822,5.764,112,0.5164,6.882
6.595,2.425,172,1.561,8.704
5.321,5.563,165,0.6966,7.576
10.39,15.01,62,0.219,8.067
6.741,4.157,111,0.7942,8.091
12.58,1.896,89,0.4447,10.63
2.138,2.737,66,0.7288,2.807
0.8965,2.694,10,0.1219,1.843
1.291,6.836,33,0.5715,6.614
2.448,1.3,20,0.717,1.914
11.16,5.745,63,0.513,9.19
7.126,3.54,53,0.9918,7.722
5.587,2.812,178,1.723,6.863
4.548,2.186,191,1.136,9.124
6.206,1.433,345,2.298,8.61
6.56,3.013,144,1,8.181
7.366,4.906,446,0.758,10.22
6.439,1.259,86,0.9778,2.302
4.237,1.704,32,0.2451,1.684
9.047,1.567,12,0.1801,1.366
12.06,7.982,7,0.07644,5.174
3.547,2.376,208,0.8962,3.929
3.154,1.905,45,0.9619,4.115
12.46,5.887,34,0.3316,5.532
11.26,1.641,95,0.9194,9.445
1.123,2.485,22,0.4062,12.21
6.282,5.264,106,0.6489,5.796
